nom	g	h	b	tw	tf	r1	r2	A	hi	d	phi	pmin	pmax	AL	AG	iiy	Wely	Wply	iy	Avz	iiz	Welz	Wplz	iz	ss	It	Iw	vy	vyp	vz	vzp	vty	vtz	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12
HE 600x337	337	0,632	0,31	0,0255	0,046	0,027	-1	0,04292	0,54	0,486	27	0,138	0,202	2,407	7,144	0,002832	0,008961	0,01038	0,2569	0,01805	0,0002294	0,00148	0,00231	0,0731	0,1491	0,00002451	0,00001961	0,155	0,155	0,316	0,316	0	0	-0,155	-0,316	0,155	-0,316	0,155	-0,27	0,01275	-0,27	0,01275	0,27	0,155	0,27	0,155	0,316	-0,155	0,316	-0,155	0,27	-0,01275	0,27	-0,01275	-0,27	-0,155	-0,27
HE 600x399	399	0,648	0,315	0,03	0,054	0,027	-1	0,05085	0,54	0,486	27	0,142	0,208	2,45	6,137	0,003446	0,01064	0,01246	0,2603	0,02136	0,0002828	0,001796	0,002814	0,0746	0,1696	0,00003966	0,00002481	0,1575	0,1575	0,324	0,324	0	0	-0,1575	-0,324	0,1575	-0,324	0,1575	-0,27	0,015	-0,27	0,015	0,27	0,1575	0,27	0,1575	0,324	-0,1575	0,324	-0,1575	0,27	-0,015	0,27	-0,015	-0,27	-0,1575	-0,27
HE 650x343	343	0,68	0,309	0,025	0,046	0,027	-1	0,04375	0,588	0,534	27	0,138	0,202	2,5	7,278	0,003337	0,009815	0,01135	0,2762	0,01896	0,0002272	0,00147	0,0023	0,0721	0,1486	0,00002442	0,00002273	0,1545	0,1545	0,34	0,34	0	0	-0,1545	-0,34	0,1545	-0,34	0,1545	-0,294	0,0125	-0,294	0,0125	0,294	0,1545	0,294	0,1545	0,34	-0,1545	0,34	-0,1545	0,294	-0,0125	0,294	-0,0125	-0,294	-0,1545	-0,294
HE 650x407	407	0,696	0,314	0,0295	0,054	0,027	-1	0,05188	0,588	0,534	27	0,142	0,206	2,543	6,243	0,004054	0,01165	0,01362	0,2795	0,02248	0,0002802	0,001785	0,002803	0,0735	0,1691	0,00003958	0,00002871	0,157	0,157	0,348	0,348	0	0	-0,157	-0,348	0,157	-0,348	0,157	-0,294	0,01475	-0,294	0,01475	0,294	0,157	0,294	0,157	0,348	-0,157	0,348	-0,157	0,294	-0,01475	0,294	-0,01475	-0,294	-0,157	-0,294
HE 700x418	418	0,744	0,313	0,0295	0,054	0,027	-1	0,05319	0,636	0,582	27	0,142	0,206	2,635	6,31	0,004725	0,0127	0,01484	0,298	0,0239	0,0002776	0,001774	0,002797	0,0722	0,1691	0,00003989	0,00003285	0,1565	0,1565	0,372	0,372	0	0	-0,1565	-0,372	0,1565	-0,372	0,1565	-0,318	0,01475	-0,318	0,01475	0,318	0,1565	0,318	0,1565	0,372	-0,1565	0,372	-0,1565	0,318	-0,01475	0,318	-0,01475	-0,318	-0,1565	-0,318
HE 700x52	352	0,728	0,308	0,025	0,046	0,027	-1	0,04486	0,636	0,582	27	0,138	0,2	2,592	7,359	0,003897	0,01071	0,01239	0,2947	0,02016	0,0002251	0,001461	0,002293	0,0708	0,1486	0,00002461	0,00002605	0,154	0,154	0,364	0,364	0	0	-0,154	-0,364	0,154	-0,364	0,154	-0,318	0,0125	-0,318	0,0125	0,318	0,154	0,318	0,154	0,364	-0,154	0,364	-0,154	0,318	-0,0125	0,318	-0,0125	-0,318	-0,154	-0,318
HE 800x373	373	0,826	0,308	0,025	0,046	0,03	-1	0,04746	0,734	0,674	27	0,144	0,2	2,782	7,469	0,005239	0,01269	0,0147	0,3323	0,02303	0,0002253	0,001463	0,002311	0,0689	0,1521	0,00002554	0,00003407	0,154	0,154	0,413	0,413	0	0	-0,154	-0,413	0,154	-0,413	0,154	-0,367	0,0125	-0,367	0,0125	0,367	0,154	0,367	0,154	0,413	-0,154	0,413	-0,154	0,367	-0,0125	0,367	-0,0125	-0,367	-0,154	-0,367
HE 800x444	444	0,842	0,313	0,03	0,054	0,03	-1	0,0566	0,734	0,674	27	0,148	0,206	2,824	6,357	0,006345	0,01507	0,01764	0,3348	0,02765	0,000278	0,001776	0,002827	0,0701	0,1731	0,0000418	0,00004284	0,1565	0,1565	0,421	0,421	0	0	-0,1565	-0,421	0,1565	-0,421	0,1565	-0,367	0,015	-0,367	0,015	0,367	0,1565	0,367	0,1565	0,421	-0,1565	0,421	-0,1565	0,367	-0,015	0,367	-0,015	-0,367	-0,1565	-0,367
HE 900x391	391	0,922	0,307	0,025	0,046	0,03	-1	0,04977	0,83	0,77	27	0,144	0,2	2,97	7,604	0,006743	0,01463	0,01699	0,3681	0,02543	0,0002232	0,001454	0,002312	0,067	0,1521	0,00002597	0,00004256	0,1535	0,1535	0,461	0,461	0	0	-0,1535	-0,461	0,1535	-0,461	0,1535	-0,415	0,0125	-0,415	0,0125	0,415	0,1535	0,415	0,1535	0,461	-0,1535	0,461	-0,1535	0,415	-0,0125	0,415	-0,0125	-0,415	-0,1535	-0,415
HE 900x466	466	0,938	0,312	0,03	0,054	0,03	-1	0,05937	0,83	0,77	27	0,148	0,204	3,012	6,464	0,008149	0,01738	0,02038	0,3705	0,03053	0,0002756	0,001767	0,002832	0,0681	0,1731	0,00004256	0,0000534	0,156	0,156	0,469	0,469	0	0	-0,156	-0,469	0,156	-0,469	0,156	-0,415	0,015	-0,415	0,015	0,415	0,156	0,415	0,156	0,469	-0,156	0,469	-0,156	0,415	-0,015	0,415	-0,015	-0,415	-0,156	-0,415
HE 1000x249	249	0,98	0,3	0,0165	0,026	0,03	-1	0,03168	0,928	0,868	27	0,134	0,194	3,08	12,37	0,004811	0,009818	0,01135	0,3897	0,01807	0,0001175	0,000784	0,001245	0,0609	0,1036	0,000005844	0,00002662	0,15	0,15	0,49	0,49	0	0	-0,15	-0,49	0,15	-0,49	0,15	-0,464	0,00825	-0,464	0,00825	0,464	0,15	0,464	0,15	0,49	-0,15	0,49	-0,15	0,464	-0,00825	0,464	-0,00825	-0,464	-0,15	-0,464
HE 1000x393	393	1,016	0,303	0,0244	0,0439	0,03	-1	0,05002	0,928	0,868	27	0,142	0,198	3,14	8,01	0,008077	0,0159	0,01854	0,4018	0,02713	0,000205	0,001353	0,002168	0,064	0,1473	0,00002332	0,00004808	0,1515	0,1515	0,508	0,508	0	0	-0,1515	-0,508	0,1515	-0,508	0,1515	-0,4641	0,0122	-0,4641	0,0122	0,4641	0,1515	0,4641	0,1515	0,508	-0,1515	0,508	-0,1515	0,4641	-0,0122	0,4641	-0,0122	-0,4641	-0,1515	-0,4641
HE 1000x415	415	1,02	0,304	0,026	0,046	0,03	-1	0,05287	0,928	0,868	27	0,144	0,198	3,15	7,6	0,008531	0,016728	0,019571	0,4017	0,02886	0,0002171	0,001428	0,002298	0,0641	0,1531	0,00002713	0,00005108	0,152	0,152	0,51	0,51	0	0	-0,152	-0,51	0,152	-0,51	0,152	-0,464	0,013	-0,464	0,013	0,464	0,152	0,464	0,152	0,51	-0,152	0,51	-0,152	0,464	-0,013	0,464	-0,013	-0,464	-0,152	-0,464
HE 1000x438	438	1,026	0,305	0,0269	0,049	0,03	-1	0,0556	0,928	0,868	27	0,146	0,198	3,17	7,25	0,009092	0,01772	0,02075	0,4043	0,02999	0,0002336	0,001531	0,002463	0,0648	0,16	0,0000319	0,00005529	0,1525	0,1525	0,513	0,513	0	0	-0,1525	-0,513	0,1525	-0,513	0,1525	-0,464	0,01345	-0,464	0,01345	0,464	0,1525	0,464	0,1525	0,513	-0,1525	0,513	-0,1525	0,464	-0,01345	0,464	-0,01345	-0,464	-0,1525	-0,464
HE 1000x494	494	1,036	0,309	0,031	0,054	0,03	-1	0,06291	0,928	0,868	27	0,148	0,204	3,19	6,47	0,0103	0,019845	0,023413	0,4042	0,03445	0,0002682	0,001736	0,002818	0,0653	0,1741	0,00004433	0,00006401	0,1545	0,1545	0,518	0,518	0	0	-0,1545	-0,518	0,1545	-0,518	0,1545	-0,464	0,0155	-0,464	0,0155	0,464	0,1545	0,464	0,1545	0,518	-0,1545	0,518	-0,1545	0,464	-0,0155	0,464	-0,0155	-0,464	-0,1545	-0,464
HE 1000x584	584	1,056	0,314	0,036	0,064	0,03	-1	0,07437	0,928	0,868	27	0,154	0,208	3,24	5,56	0,0125	0,0236	0,028039	0,4093	0,04032	0,0003343	0,00213	0,003475	0,067	0,1991	0,0000723	0,00008124	0,157	0,157	0,528	0,528	0	0	-0,157	-0,528	0,157	-0,528	0,157	-0,464	0,018	-0,464	0,018	0,464	0,157	0,464	0,157	0,528	-0,157	0,528	-0,157	0,464	-0,018	0,464	-0,018	-0,464	-0,157	-0,464
HEA 100	16,7	0,096	0,1	0,005	0,008	0,012	-1	0,00212	0,08	0,056	10	0,054	0,058	0,561	33,68	0,000003492	0,00007276	0,00008301	0,0406	0,000756	0,000001338	0,00002676	0,00004114	0,0251	0,03506	5,24E-008	2,58E-009	0,05	0,05	0,048	0,048	0	0	-0,05	-0,048	0,05	-0,048	0,05	-0,04	0,0025	-0,04	0,0025	0,04	0,05	0,04	0,05	0,048	-0,05	0,048	-0,05	0,04	-0,0025	0,04	-0,0025	-0,04	-0,05	-0,04
HEA 120	19,9	0,114	0,12	0,005	0,008	0,012	-1	0,00253	0,098	0,074	12	0,058	0,068	0,677	34,06	0,000006062	0,0001063	0,0001195	0,0489	0,000846	0,000002309	0,00003848	0,00005885	0,0302	0,03506	5,99E-008	6,47E-009	0,06	0,06	0,057	0,057	0	0	-0,06	-0,057	0,06	-0,057	0,06	-0,049	0,0025	-0,049	0,0025	0,049	0,06	0,049	0,06	0,057	-0,06	0,057	-0,06	0,049	-0,0025	0,049	-0,0025	-0,049	-0,06	-0,049
HEA 140	24,7	0,133	0,14	0,0055	0,0085	0,012	-1	0,00314	0,116	0,092	16	0,064	0,076	0,794	32,21	0,00001033	0,0001554	0,0001735	0,0573	0,001012	0,000003893	0,00005562	0,00008485	0,0352	0,03656	8,13E-008	1,506E-008	0,07	0,07	0,0665	0,0665	0	0	-0,07	-0,0665	0,07	-0,0665	0,07	-0,058	0,00275	-0,058	0,00275	0,058	0,07	0,058	0,07	0,0665	-0,07	0,0665	-0,07	0,058	-0,00275	0,058	-0,00275	-0,058	-0,07	-0,058
HEA 160	30,4	0,152	0,16	0,006	0,009	0,015	-1	0,00388	0,134	0,104	20	0,078	0,084	0,906	29,78	0,00001673	0,0002201	0,0002451	0,0657	0,001321	0,000006156	0,00007695	0,0001176	0,0398	0,04157	1,219E-007	3,141E-008	0,08	0,08	0,076	0,076	0	0	-0,08	-0,076	0,08	-0,076	0,08	-0,067	0,003	-0,067	0,003	0,067	0,08	0,067	0,08	0,076	-0,08	0,076	-0,08	0,067	-0,003	0,067	-0,003	-0,067	-0,08	-0,067
HEA 180	35,5	0,171	0,18	0,006	0,0095	0,015	-1	0,00453	0,152	0,122	24	0,086	0,092	1,024	28,83	0,0000251	0,0002936	0,0003249	0,0745	0,001447	0,000009246	0,0001027	0,0001565	0,0452	0,04257	0,000000148	6,021E-008	0,09	0,09	0,0855	0,0855	0	0	-0,09	-0,0855	0,09	-0,0855	0,09	-0,076	0,003	-0,076	0,003	0,076	0,09	0,076	0,09	0,0855	-0,09	0,0855	-0,09	0,076	-0,003	0,076	-0,003	-0,076	-0,09	-0,076
HEA 200	42,3	0,19	0,2	0,0065	0,01	0,018	-1	0,00538	0,17	0,134	27	0,098	0,1	1,136	26,89	0,00003692	0,0003886	0,0004295	0,0828	0,001808	0,00001336	0,0001336	0,0002038	0,0498	0,04759	2,098E-007	0,000000108	0,1	0,1	0,095	0,095	0	0	-0,1	-0,095	0,1	-0,095	0,1	-0,085	0,00325	-0,085	0,00325	0,085	0,1	0,085	0,1	0,095	-0,1	0,095	-0,1	0,085	-0,00325	0,085	-0,00325	-0,085	-0,1	-0,085
HEA 220	50,5	0,21	0,22	0,007	0,011	0,018	-1	0,00643	0,188	0,152	27	0,098	0,118	1,255	24,85	0,0000541	0,0005152	0,0005685	0,0917	0,002067	0,00001955	0,0001777	0,0002706	0,0551	0,05009	2,846E-007	1,933E-007	0,11	0,11	0,105	0,105	0	0	-0,11	-0,105	0,11	-0,105	0,11	-0,094	0,0035	-0,094	0,0035	0,094	0,11	0,094	0,11	0,105	-0,11	0,105	-0,11	0,094	-0,0035	0,094	-0,0035	-0,094	-0,11	-0,094
HEA 240	60,3	0,23	0,24	0,0075	0,012	0,021	-1	0,00768	0,206	0,164	27	0,104	0,138	1,369	22,7	0,00007763	0,0006751	0,0007446	0,1005	0,002518	0,00002769	0,0002307	0,0003517	0,06	0,0561	4,155E-007	3,285E-007	0,12	0,12	0,115	0,115	0	0	-0,12	-0,115	0,12	-0,115	0,12	-0,103	0,00375	-0,103	0,00375	0,103	0,12	0,103	0,12	0,115	-0,12	0,115	-0,12	0,103	-0,00375	0,103	-0,00375	-0,103	-0,12	-0,103
HEA 260	68,2	0,25	0,26	0,0075	0,0125	0,024	-1	0,00868	0,225	0,177	27	0,11	0,158	1,484	21,77	0,0001045	0,0008364	0,0009198	0,1097	0,002876	0,00003668	0,0002821	0,0004302	0,065	0,06062	5,237E-007	5,164E-007	0,13	0,13	0,125	0,125	0	0	-0,13	-0,125	0,13	-0,125	0,13	-0,1125	0,00375	-0,1125	0,00375	0,1125	0,13	0,1125	0,13	0,125	-0,13	0,125	-0,13	0,1125	-0,00375	0,1125	-0,00375	-0,1125	-0,13	-0,1125
HEA 280	76,4	0,27	0,28	0,008	0,013	0,024	-1	0,00973	0,244	0,196	27	0,112	0,178	1,603	20,99	0,0001367	0,001013	0,001112	0,1186	0,003174	0,00004763	0,0003402	0,0005181	0,07	0,06212	0,000000621	7,854E-007	0,14	0,14	0,135	0,135	0	0	-0,14	-0,135	0,14	-0,135	0,14	-0,122	0,004	-0,122	0,004	0,122	0,14	0,122	0,14	0,135	-0,14	0,135	-0,14	0,122	-0,004	0,122	-0,004	-0,122	-0,14	-0,122
HEA 300	88,3	0,29	0,3	0,0085	0,014	0,027	-1	0,01125	0,262	0,208	27	0,118	0,198	1,717	19,43	0,0001826	0,00126	0,001383	0,1274	0,003728	0,0000631	0,0004206	0,0006412	0,0749	0,06813	8,517E-007	0,0000012	0,15	0,15	0,145	0,145	0	0	-0,15	-0,145	0,15	-0,145	0,15	-0,131	0,00425	-0,131	0,00425	0,131	0,15	0,131	0,15	0,145	-0,15	0,145	-0,15	0,131	-0,00425	0,131	-0,00425	-0,131	-0,15	-0,131
HEA 320	97,6	0,31	0,3	0,009	0,0155	0,027	-1	0,01244	0,279	0,225	27	0,118	0,198	1,756	17,98	0,0002293	0,001479	0,001628	0,1358	0,004113	0,00006985	0,0004657	0,0007097	0,0749	0,07163	0,00000108	0,000001512	0,15	0,15	0,155	0,155	0	0	-0,15	-0,155	0,15	-0,155	0,15	-0,1395	0,0045	-0,1395	0,0045	0,1395	0,15	0,1395	0,15	0,155	-0,15	0,155	-0,15	0,1395	-0,0045	0,1395	-0,0045	-0,1395	-0,15	-0,1395
HEA 340	105	0,33	0,3	0,0095	0,0165	0,027	-1	0,01335	0,297	0,243	27	0,118	0,198	1,795	17,13	0,0002769	0,001678	0,00185	0,144	0,004495	0,00007436	0,0004957	0,0007559	0,0746	0,07413	0,000001272	0,000001824	0,15	0,15	0,165	0,165	0	0	-0,15	-0,165	0,15	-0,165	0,15	-0,1485	0,00475	-0,1485	0,00475	0,1485	0,15	0,1485	0,15	0,165	-0,15	0,165	-0,15	0,1485	-0,00475	0,1485	-0,00475	-0,1485	-0,15	-0,1485
HEA 360	112	0,35	0,3	0,01	0,0175	0,027	-1	0,01428	0,315	0,261	27	0,12	0,198	1,834	16,36	0,0003309	0,001891	0,002088	0,1522	0,004896	0,00007887	0,0005258	0,0008023	0,0743	0,07663	0,000001488	0,000002177	0,15	0,15	0,175	0,175	0	0	-0,15	-0,175	0,15	-0,175	0,15	-0,1575	0,005	-0,1575	0,005	0,1575	0,15	0,1575	0,15	0,175	-0,15	0,175	-0,15	0,1575	-0,005	0,1575	-0,005	-0,1575	-0,15	-0,1575
HEA 400	125	0,39	0,3	0,011	0,019	0,027	-1	0,0159	0,352	0,298	27	0,12	0,198	1,912	15,32	0,0004507	0,002311	0,002562	0,1684	0,005733	0,00008564	0,0005709	0,0008729	0,0734	0,08063	0,00000189	0,000002942	0,15	0,15	0,195	0,195	0	0	-0,15	-0,195	0,15	-0,195	0,15	-0,176	0,0055	-0,176	0,0055	0,176	0,15	0,176	0,15	0,195	-0,15	0,195	-0,15	0,176	-0,0055	0,176	-0,0055	-0,176	-0,15	-0,176
HEA 450	140	0,44	0,3	0,0115	0,021	0,027	-1	0,0178	0,398	0,344	27	0,122	0,198	2,011	14,39	0,0006372	0,002896	0,003216	0,1892	0,006578	0,00009465	0,000631	0,0009655	0,0729	0,08513	0,000002438	0,000004148	0,15	0,15	0,22	0,22	0	0	-0,15	-0,22	0,15	-0,22	0,15	-0,199	0,00575	-0,199	0,00575	0,199	0,15	0,199	0,15	0,22	-0,15	0,22	-0,15	0,199	-0,00575	0,199	-0,00575	-0,199	-0,15	-0,199
HEA 500	155	0,49	0,3	0,012	0,023	0,027	-1	0,01975	0,444	0,39	27	0,122	0,198	2,11	13,6	0,0008697	0,00355	0,003949	0,2098	0,007472	0,0001037	0,0006911	0,001059	0,0724	0,08963	0,000003093	0,000005643	0,15	0,15	0,245	0,245	0	0	-0,15	-0,245	0,15	-0,245	0,15	-0,222	0,006	-0,222	0,006	0,222	0,15	0,222	0,15	0,245	-0,15	0,245	-0,15	0,222	-0,006	0,222	-0,006	-0,222	-0,15	-0,222
HEA 550	166	0,54	0,3	0,0125	0,024	0,027	-1	0,02118	0,492	0,438	27	0,122	0,198	2,209	13,29	0,001119	0,004146	0,004622	0,2299	0,008372	0,0001082	0,0007213	0,001107	0,0715	0,09213	0,000003515	0,000007189	0,15	0,15	0,27	0,27	0	0	-0,15	-0,27	0,15	-0,27	0,15	-0,246	0,00625	-0,246	0,00625	0,246	0,15	0,246	0,15	0,27	-0,15	0,27	-0,15	0,246	-0,00625	0,246	-0,00625	-0,246	-0,15	-0,246
